actual,idx,pred,cats,N0,N1,N2,N3,N4,I0,I1,I2,I3,I4
0.0,0,0.0,0,0,0,0,0,0,3428,1070,3347,1511,770
0.0,1,0.0,0,0,0,0,0,0,4078,373,3149,3504,3446
0.0,2,0.0,0,0,0,0,0,0,24,2253,1871,1029,4915
0.0,3,0.0,0,0,0,0,0,0,2516,3937,3792,2688,2283
0.0,4,0.0,0,0,0,0,0,0,2274,178,3343,48,4484
0.0,5,0.0,0,0,0,0,0,0,2000,2545,3731,2720,4130
0.0,6,0.0,0,0,0,0,0,0,4710,1401,1780,4840,3186
0.0,7,0.0,0,0,0,0,0,0,2867,1122,3312,1442,1370
0.0,8,0.0,0,0,0,0,0,0,1194,4164,2905,131,3501
0.0,9,0.0,0,0,0,0,0,0,1199,702,422,1080,186
0.0,10,0.0,0,0,0,0,0,0,1472,2822,997,2905,174
0.0,11,0.0,0,0,0,0,0,0,793,2742,399,2118,329
0.0,12,0.0,0,0,0,0,0,0,3048,2938,3792,4208,4638
0.0,13,0.0,0,0,0,0,0,0,3747,615,4789,1941,4792
0.0,14,0.0,0,0,0,0,0,0,1282,3308,2345,246,4796
0.0,15,0.0,0,0,0,0,0,0,3107,1098,2717,1060,4300
0.0,16,0.0,0,0,0,0,0,0,4220,3117,4174,1106,4453
0.0,17,0.0,0,0,0,0,0,0,1771,367,4206,1326,1081
0.0,18,0.0,0,0,0,0,0,0,1084,4382,3109,4337,4287
0.0,19,0.0,0,0,0,0,0,0,1098,364,2591,1377,4300
0.0,20,0.0,0,0,0,0,0,0,3200,4366,804,4831,2791
0.0,21,0.0,0,0,0,0,0,0,3209,1530,1529,4297,564
0.0,22,0.0,0,0,0,0,0,0,1206,2331,2705,97,832
0.0,23,0.0,0,0,0,0,0,0,1144,1137,4479,1374,1425
0.0,24,0.0,0,0,0,0,0,0,2072,4699,495,3826,2
0.0,25,0.0,0,0,0,0,0,0,1830,4621,2563,4780,3038
0.0,26,0.0,0,0,0,0,0,0,2907,3096,267,336,1403
0.0,27,0.0,0,0,0,0,0,0,538,4418,974,149,2299
0.0,28,0.0,0,0,0,0,0,0,1575,4215,4446,4260,4158
0.0,29,0.0,0,0,0,0,0,0,1433,4033,1865,1783,2767
0.0,30,0.0,0,0,0,0,0,0,3507,4048,3165,1762,3853
0.0,31,0.0,0,0,0,0,0,0,3897,4910,1691,2198,1845
0.0,32,0.0,0,0,0,0,0,0,1809,3660,1511,4727,4484
0.0,33,0.0,0,0,0,0,0,0,4457,1425,4459,1170,925
0.0,34,0.0,0,0,0,0,0,0,984,4607,1320,4708,2016
0.0,35,0.0,0,0,0,0,0,0,522,2351,2052,144,4467
0.0,36,0.0,0,0,0,0,0,0,762,1811,2215,661,2955
0.0,37,0.0,0,0,0,0,0,0,4694,3632,4568,2222,1117
0.0,38,0.0,0,0,0,0,0,0,991,3305,3653,1212,3350
0.0,39,0.0,0,0,0,0,0,0,3537,2806,3254,503,1517
0.0,40,0.0,0,0,0,2,0,0,4321,145,8596,1488,1132
0.0,41,0.0,0,0,0,0,0,0,3551,3549,2886,1881,1671
0.0,42,0.0,0,0,0,0,0,0,3236,4228,737,2171,2831
0.0,43,0.0,0,0,0,0,0,0,2977,3100,2618,354,2522
